15979	foul	68
18318	homines	68
18627	husband	68
23492	matters	68
27455	parties	68
27904	peradventure	68
28933	pliny	68
5396	bed	67
17326	grievous	67
17757	hate	67
18596	hundred	67
22398	living	67
28112	perpetual	67
30951	question	67
38709	v	67
40007	wars	67
456	14	66
9115	conscience	66
10740	dear	66
20758	its	66
22389	lived	66
23922	mercy	66
24777	mortal	66
29401	poverty	66
32240	right	66
34150	signs	66
739	17	65
2770	ages	65
4038	apt	65
5092	back	65
5393	become	65
15021	fault	65
20946	john	65
26662	opposite	65
27755	peculiar	65
28877	pleasing	65
29018	poets	65
33889	seven	65
34833	sound	65
35068	spleen	65
40479	writers	65
3166	although	64
12832	dull	64
17287	greece	64
18437	horse	64
18633	husbands	64
21641	large	64
21842	learned	64
23356	mars	64
26942	ought	64
765	19	63
13173	ego	63
15061	fears	63
15876	former	63
17059	goes	63
17665	hands	63
21163	just	63
34895	speaks	63
40042	waters	63
40187	while	63
6576	caesar	62
11032	dei	62
17536	habet	62
25437	nemo	62
28785	plague	62
31719	religious	62
33090	saxonia	62
33120	scaliger	62
38162	twenty	62
40349	within	62
5007	avicenna	61
5782	birds	61
12459	dogs	61
12610	dote	61
16445	fury	61
17280	greatest	61
18250	hist	61
20546	inward	61
26456	offices	61
26551	omnium	61
28854	play	61
30440	psal	61
34263	sing	61
38098	turned	61
3652	animi	60
8134	clothes	60
9843	course	60
10447	cut	60
15376	filthy	60
17613	hair	60
21808	lay	60
21949	lemnius	60
22564	lost	60
26216	observe	60
27536	past	60
34350	six	60
35449	stone	60
7824	chrysostom	59
8571	commends	59
8796	conceit	59
9426	continue	59
9945	crato	59
11767	died	59
12454	dog	59
13189	egypt	59
15131	felix	59
17065	golden	59
18008	herbs	59
23036	maintain	59
27123	pains	59
29819	pride	59
32379	romans	59
34651	solitary	59
35946	suffer	59
37613	toys	59
37964	truly	59
5472	behold	58
10658	dare	58
13636	envy	58
15465	five	58
17369	ground	58
18393	hor	58
18850	ille	58
21789	law	58
22950	magis	58
24170	minds	58
24825	motion	58
25160	nam	58
25341	necessary	58
25464	neque	58
30473	public	58
33205	scholars	58
33811	servants	58
37980	truth	58
38092	turks	58
40562	year	58
792	21	57
2635	affect	57
3887	apollo	57
7124	cases	57
9737	corrupt	57
11280	deny	57
12947	ears	57
15799	force	57
17786	having	57
17808	heads	57
18742	idleness	57
20761	iv	57
21669	lascivious	57
22151	liberty	57
22557	lose	57
27075	p	57
32371	roman	57
34598	soldiers	57
34968	spend	57
40477	write	57
804	22	56
8839	conclude	56
11773	dies	56
13542	enjoy	56
14981	fasting	56
18302	holy	56
18836	illa	56
18986	immoderate	56
22512	looks	56
25826	notes	56
26425	offend	56
28879	pleasures	56
31961	rerum	56
33936	shalt	56
37065	thence	56
2649	affection	55
3576	angels	55
10391	curious	55
12316	divers	55
17717	harm	55
17906	held	55
21338	knows	55
24311	mischief	55
29360	potest	55
29825	priests	55
39951	walk	55
40480	writes	55
5565	bene	54
7470	certain	54
8532	coming	54
9158	consider	54
12686	dreams	54
15042	favour	54
17541	habit	54
18622	hurt	54
24433	mixed	54
29856	principal	54
35451	stones	54
36218	sure	54
36219	surely	54
36750	temperature	54
37609	towns	54
4055	apud	53
7143	cast	53
12607	dotage	53
18539	human	53
20994	joy	53
22037	lest	53
22581	loved	53
24869	moved	53
25939	nulla	53
26217	observed	53
27706	peace	53
28236	perturbations	53
28452	philosopher	53
28875	pleased	53
30379	proves	53
33616	semper	53
33937	shame	53
34179	silly	53
34743	soon	53
37301	tibi	53
40169	wherein	53
779	20	52
3196	always	52
7795	christians	52
11584	deus	52
12029	discontents	52
13969	etiam	52
17423	guianerius	52
17929	hellebore	52
19742	infirmities	52
21285	kingdom	52
23029	maids	52
25164	names	52
25789	nos	52
30017	prodigious	52
34649	solitariness	52
34954	speech	52
35958	sufficient	52
36680	tears	52
40340	withal	52
7449	ceremonies	51
13507	enemies	51
18442	horses	51
22247	likely	51
23427	master	51
23916	mercurialis	51
24480	modo	51
26423	offence	51
26983	overcome	51
27297	paracelsus	51
28300	peter	51
29792	pretty	51
31466	red	51
33666	senses	51
33809	servant	51
34017	short	51
4480	ask	50
7727	china	50
7752	choice	50
8567	commended	50
10638	danger	50
12319	diverse	50
12840	dum	50
12960	easily	50
13564	enough	50
16302	fuit	50
21337	known	50
22208	lies	50
29750	presence	50
30960	quibus	50
31128	rage	50
34744	sooner	50
36187	suppose	50
36539	tale	50
36550	talk	50
36895	terms	50
36920	terrible	50
37984	tu	50
38345	understanding	50
40213	white	50
2719	africa	49
4026	approved	49
7091	carry	49
7700	chief	49
8841	concludes	49
9327	contemn	49
11479	desperate	49
13850	error	49
14966	fast	49
15443	fish	49
15559	flesh	49
16836	germany	49
17243	grave	49
18796	ignorance	49
20564	ipse	49
27909	perceive	49
29641	pray	49
29745	prescribes	49
35827	substance	49
38946	veins	49
3295	ambition	48
