id	zodis	skaicius
2755	agenti	1
2756	ager	3
2757	agere	8
2758	ages	64
2759	agesilaus	1
2760	aget	2
2761	agg	1
2762	aggere	1
2763	aggerunt	1
2764	aggravate	18
2765	aggravated	2
2766	aggravates	7
2767	aggravating	4
2768	aggravation	1
2769	aggredi	1
2770	aggreditur	1
2771	aggregat	1
2772	aggregated	1
2773	aggregator	1
2774	aggregatum	1
2775	aghast	2
2776	agi	1
2777	agilis	1
2778	agimus	1
2779	agincourt	2
2780	agis	2
2781	agit	10
2782	agitabant	1
2783	agitabat	1
2784	agitant	5
2785	agitantur	1
2786	agitare	1
2787	agitarent	1
2788	agitat	1
2789	agitati	1
2790	agitation	6
2791	agitatione	1
2792	agitationem	1
2793	agitatur	1
2794	agitatus	1
2795	agite	1
2796	agitent	1
2797	agitor	1
2798	agitur	4
2799	aglaus	1
2800	agmen	1
2801	agmina	2
2802	agna	1
2803	agnae	1
2804	agnam	1
2805	agni	1
2806	agnoscat	3
2807	agnoscebat	1
2808	agnoscere	1
2809	agnosceret	2
2810	agnoscis	1
2811	agnoscunt	1
2812	agnovit	2
2813	agnus	4
2814	ago	1
2815	agony	19
2816	agraria	1
2817	agre	1
2818	agree	31
2819	agreeable	3
2820	agreed	3
2821	agreeing	3
2822	agreement	7
2823	agrees	6
2824	agrestes	1
2825	agresti	1
2826	agri	1
2827	agric	5
2828	agricola	6
2829	agricolae	1
2830	agricolas	2
2831	agricolatio	1
2832	agricolis	3
2833	agricult	5
2834	agrigentum	2
2835	agrimony	1
2836	agrip	1
2837	agrippa	34
2838	agrippas	1
2839	agrippina	3
2840	agris	3
2841	agro	1
2842	agrorum	1
2843	agros	2
2844	agrum	1
2845	agryppa	1
2846	ague	24
2847	agues	17
2848	agunt	6
2849	agur	1
2850	agyrtae	1
2851	ah	4
2852	ahasuerus	8
2853	ahead	1
2854	ahena	1
2855	aheneus	1
2856	ahenis	1
2857	aid	7
2858	aiebat	1
2859	aileth	1
2860	ails	1
2861	aim	8
2862	aimed	2
2863	aims	2
2864	air	214
2865	aisle	2
2866	ait	17
2867	aiunt	3
2868	aix	2
2869	ajaces	1
2870	ajax	8
2871	al	1
2872	alabanda	1
2873	alabaster	1
2874	alabastritum	1
2875	alablastritum	3
2876	alacres	1
2877	alacritas	1
2878	alacriter	1
2879	alacrity	10
2880	alantur	2
2881	alanus	1
2882	alardus	1
2883	alarms	2
2884	alas	14
2885	alastores	1
2886	alat	1
2887	alb	1
2888	alba	3
2889	albae	3
2890	albamque	1
2891	albania	2
2892	albanian	1
2893	albans	2
2894	albas	1
2895	albateginus	1
2896	albategnius	1
2897	albeit	1
2898	albertinus	3
2899	albertus	21
2900	albi	3
2901	albion	1
2902	albiss	1
2903	albubater	2
2904	albulis	1
2905	album	1
2906	albumazer	1
2907	albus	1
2908	alcada	1
2909	alcestus	1
2910	alchemist	3
2911	alchemists	8
2912	alchemy	1
2913	alchermes	1
2914	alciat	2
2915	alcibiadem	1
2916	alcibiades	26
2917	alcibiadis	1
2918	alcinoique	1
2919	alcinous	4
2920	alcionius	1
2921	alcmaer	1
2922	alcmar	1
2923	alcmena	2
2924	alcoran	11
2925	alderovandus	1
2926	aldrovandus	1
2927	ale	7
2928	alea	5
2929	aleacman	1
2930	aleatores	1
2931	alecto	3
2932	alegabalus	1
2933	alehouse	9
2934	alehouses	3
2935	aleida	1
2936	alemani	1
2937	alemaniae	1
2938	alembic	1
2939	alemena	1
2940	alendos	1
2941	aleppo	2
2942	alere	1
2943	ales	2
2944	alesque	1
2945	alex	4
2946	alexan	2
2947	alexander	114
2948	alexanders	1
2949	alexandretta	2
2950	alexandri	1
2951	alexandria	7
2952	alexandrinus	9
2953	alexandro	8
2954	alexandrum	1
2955	alexi	2
2956	alexicacus	1
2957	alexin	1
2958	alexipharmacum	2
2959	alexipharmacums	1
2960	alexis	7
2961	alfakins	1
2962	alfaqui	1
2963	alfraganus	1
2964	alfredi	2
2965	alfredus	1
2966	alga	2
2967	algebra	4
2968	alget	1
2969	alhasen	1
2970	alhazen	1
2971	ali	1
2972	alia	21
2973	aliacensis	1
2974	aliae	6
2975	aliardus	1
2976	aliarum	1
2977	alias	11
2978	alibi	10
2979	alicant	1
2980	alicubi	4
2981	alicui	1
2982	alicujus	4
2983	alien	3
2984	aliena	9
2985	alienae	2
2986	alienam	1
2987	alienarum	1
2988	alienas	1
2989	alienat	9
2990	alienate	4
2991	alienated	2
2992	alienation	1
2993	alienatione	1
2994	alieni	2
2995	alienis	6
2996	alieno	2
2997	alienum	5
2998	alighted	1
2999	alii	23
3000	aliis	25
3001	alike	33
3002	alim	1
3003	aliment	2
3004	alimenta	2
3005	alimenti	1
3006	alimento	1
3007	alimentorum	2
3008	alimentum	3
3009	alio	7
3010	alioqui	1
3011	alioquin	1
3012	aliorum	9
3013	alios	14
3014	aliosque	1
3015	aliqua	9
3016	aliquam	1
3017	aliquando	13
3018	aliquantulum	1
3019	aliquas	1
3020	aliquem	3
3021	aliqui	1
3022	aliquid	19
3023	aliquis	9
3024	aliquo	5
3025	aliquod	1
3026	aliquos	1
3027	aliquot	3
3028	alit	4
3029	aliter	9
3030	alites	1
3031	alitibus	1
3032	alitur	3
3033	aliturque	2
3034	aliud	21
3035	aliudque	2
3036	alium	4
3037	alius	10
3038	alive	21
3039	alkermes	6
3040	alkindus	3
3041	all	3331
3042	allata	1
3043	allatae	1
3044	allatrare	1
3045	allatres	1
3046	allatret	1
3047	allay	3
3048	allayed	2
3049	allege	2
3050	allegorical	1
3051	allegories	1
3052	allegro	2
3053	allevor	1
3054	alliance	4
3055	allicere	1
3056	allied	7
3057	allies	9
3058	alligat	1
3059	alligata	1
3060	alligatus	2
3061	alliud	1
3062	alliumque	1
3063	allobroges	1
3064	allon	1
3065	alloquor	1
3066	allos	1
3067	allotted	4
3068	allow	23
3069	allowable	1
3070	allowance	5
3071	allowed	10
3072	allowing	2
3073	allows	6
3074	alloy	1
3075	allspice	1
3076	alluded	1
3077	alluit	1
3078	allure	8
3079	allured	1
3080	allurement	6
3081	allurements	17
3082	allures	1
3083	allureth	4
3084	alluring	1
3085	allusion	1
3086	alma	6
3087	almagest	1
3088	almanac	1
3089	almansor	2
3090	almighty	1
3091	almonds	5
3092	almoner	1
3093	almost	174
3094	alms	13
3095	almutens	1
3096	alnansorem	1
3097	alno	1
3098	alnoque	1
3099	alnus	1
3100	aloa	1
3101	aloe	1
3102	aloes	8
3103	aloft	10
3104	alone	316
3105	along	13
3106	aloof	1
3107	aloud	5
3108	aloysius	1
3109	alphei	1
3110	alpheratius	1
3111	alpheus	1
3112	alphi	1
3113	alphonsine	1
3114	alphonsus	9
3115	alpinae	1
3116	alpine	2
3117	alps	7
3118	already	38
3119	alsarius	3
3120	alsarus	1
3121	alsatia	2
3122	alsatus	1
3123	alsit	1
3124	also	16
3125	alta	4
3126	altae	1
3127	altar	8
3128	altars	9
3129	altas	3
3130	alter	69
3131	altera	7
3132	alteram	4
3133	alterare	1
3134	alteration	19
3135	alterations	17
3136	alterative	3
3137	alteratives	16
3138	alteratur	2
3139	altercatio	1
3140	altercation	1
3141	altercations	1
3142	altered	28
3143	alteri	4
3144	altering	7
3145	alterius	6
3146	alterno	1
3147	alternos	1
3148	altero	1
3149	alters	13
