"id","zodis","skaicius"
674,"1596",5
675,"1597",1
676,"1598",2
677,"1599",2
678,"15th",1
679,"16",83
680,"160",2
681,"1600",6
682,"1601",1
683,"1602",1
684,"1603",1
685,"1604",3
686,"1605",2
687,"1606",1
688,"1607",4
689,"1608",2
690,"1609",2
691,"161",1
692,"1610",1
693,"1611",1
694,"1612",4
695,"1613",1
696,"1614",3
697,"1615",3
698,"1616",4
699,"1617",2
700,"1618",1
701,"1619",2
702,"162",1
703,"1620",4
704,"1621",6
705,"1622",2
706,"1623",2
707,"1624",4
708,"1625",1
709,"1626",1
710,"1627",1
711,"1628",3
712,"1629",1
713,"163",1
714,"1630",2
715,"1631",1
716,"1632",2
717,"1633",3
718,"1634",2
719,"1635",1
720,"1636",2
721,"1637",1
722,"1638",2
723,"1639",4
724,"164",1
725,"1640",2
726,"1641",1
727,"1642",1
728,"1643",1
729,"1644",1
730,"1645",2
731,"165",1
732,"1651",2
733,"166",2
734,"1660",1
735,"167",1
736,"1676",3
737,"168",2
738,"169",1
739,"17",65
740,"170",2
741,"171",2
742,"172",1
743,"1725",1
744,"173",1
745,"174",2
746,"175",2
747,"176",1
748,"177",2
749,"1777",1
750,"178",2
751,"179",1
752,"18",91
753,"180",5
754,"181",1
755,"182",2
756,"183",2
757,"184",1
758,"185",5
759,"186",3
760,"187",1
761,"188",2
762,"1884",1
763,"189",3
764,"18th",1
765,"19",63
766,"190",1
767,"191",2
768,"192",1
769,"193",1
770,"194",1
771,"195",1
772,"196",2
773,"197",1
774,"1976",1
775,"198",1
776,"199",1
777,"19th",1
778,"2",551
779,"20",52
780,"200",11
781,"2000",2
782,"201",1
783,"202",1
784,"203",2
785,"204",1
786,"205",1
787,"206",1
788,"207",2
789,"208",1
790,"209",1
791,"20th",1
792,"21",57
793,"210",1
794,"211",1
795,"212",2
796,"213",1
797,"214",1
798,"215",1
799,"2150",1
800,"216",1
801,"217",1
802,"218",1
803,"219",1
804,"22",56
805,"22°",1
806,"220",2
807,"221",2
808,"222",1
809,"223",1
810,"224",2
811,"225",1
812,"226",2
813,"227",1
814,"228",1
815,"229",10
816,"22d",1
817,"23",40
818,"230",7
819,"231",4
820,"232",1
821,"233",4
822,"234",2
823,"235",2
824,"236",1
825,"237",2
826,"238",2
827,"239",3
828,"24",44
829,"240",1
830,"241",2
831,"242",2
832,"243",1
833,"244",4
834,"245",1
835,"246",1
836,"247",1
837,"248",1
838,"249",2
839,"24th",1
840,"25",27
841,"250",4
842,"251",1
843,"252",2
844,"253",1
845,"254",1
846,"255",1
847,"256",1
848,"257",1
849,"258",1
850,"259",1
851,"26",31
852,"260",1
853,"261",1
854,"262",1
855,"263",1
856,"264",1
857,"265",1
858,"266",1
859,"267",1
860,"268",1
861,"269",1
862,"27",30
863,"270",1
864,"271",1
865,"272",1
866,"273",2
867,"274",2
868,"275",1
869,"276",2
870,"277",1
871,"278",1
872,"279",1
873,"27th",2
874,"28",21
875,"280",2
876,"281",1
877,"282",2
878,"283",2
879,"284",1
880,"285",2
881,"286",2
882,"287",1
883,"288",2
884,"289",1
885,"29",18
886,"290",1
887,"2904",1
888,"291",1
889,"292",1
890,"293",1
891,"294",1
892,"295",1
893,"296",1
894,"297",1
895,"298",1
896,"299",2
897,"29th",1
898,"2ae",1
899,"2d",2
900,"3",474
901,"30",44
902,"300",11
903,"301",3
904,"302",4
905,"303",1
906,"304",3
907,"305",1
908,"306",1
909,"307",3
910,"308",1
911,"309",1
912,"31",29
913,"310",1
914,"311",1
915,"312",1
916,"313",2
917,"314",1
918,"315",1
919,"316",1
920,"317",1
921,"318",1
922,"319",1
923,"32",10
924,"320",2
925,"321",1
926,"322",1
927,"323",1
928,"324",2
929,"325",2
930,"326",1
931,"327",1
932,"328",1
933,"329",1
934,"33",18
935,"330",1
936,"331",1
937,"332",1
938,"333",1
939,"334",1
940,"335",1
941,"336",3
942,"337",1
943,"338",1
944,"339",1
945,"34",15
946,"340",1
947,"341",1
948,"342",1
949,"343",2
950,"344",1
951,"345",1
952,"346",1
953,"347",1
954,"348",1
955,"349",1
956,"35",16
957,"350",1
958,"351",1
959,"352",1
960,"353",1
961,"354",1
962,"355",1
963,"356",1
964,"357",1
965,"358",1
966,"359",1
967,"36",22
968,"360",2
