"zodis","total","singular","singular.num","plural","plural.num"
"son",149,"",0,"",0
"way",149,"",0,"",0
"affected",147,"",0,"",0
"lord",146,"lord",125,"lords",21
"passion",146,"",0,"",0
"sun",146,"",0,"",0
"get",145,"",0,"",0
"holds",145,"",0,"",0
"ab",144,"",0,"",0
"house",144,"",0,"",0
"divine",143,"",0,"",0
"lust",143,"",0,"",0
"subsect",143,"",0,"",0
"cities",142,"",0,"",0
"virtue",141,"virtue",99,"virtues",42
"object",140,"",0,"",0
"philosopher",140,"philosopher",63,"philosophers",77
"gold",139,"",0,"",0
"purpose",139,"purpose",138,"purposes",1
"age",138,"",0,"",0
"hold",138,"",0,"",0
"thousand",138,"thousand",118,"thousands",20
"through",138,"",0,"",0
"according",137,"",0,"",0
"troubled",137,"",0,"",0
"want",137,"",0,"",0
"black",136,"",0,"",0
"city",136,"",0,"",0
"cured",136,"",0,"",0
"either",136,"",0,"",0
"saw",136,"",0,"",0
"seneca",136,"",0,"",0
"cardan",135,"",0,"",0
"comes",135,"",0,"",0
"fit",135,"",0,"",0
"per",135,"",0,"",0
"venus",135,"",0,"",0
"devils",134,"",0,"",0
"wine",134,"wine",122,"wines",12
"earth",133,"",0,"",0
"night",133,"",0,"",0
"sick",133,"",0,"",0
"above",132,"",0,"",0
"austin",131,"",0,"",0
"small",131,"",0,"",0
"example",130,"example",46,"examples",84
"humours",130,"",0,"",0
"plato",130,"",0,"",0
"till",130,"",0,"",0
"your",130,"your",126,"yours",4
"country",129,"",0,"",0
"humour",129,"",0,"",0
"called",128,"",0,"",0
"help",128,"",0,"",0
"jupiter",128,"jupiter",127,"jupiters",1
"medicine",128,"medicine",47,"medicines",81
"st",128,"",0,"",0
"tract",128,"",0,"",0
"lucian",127,"",0,"",0
"name",126,"",0,"",0
"seen",126,"",0,"",0
"eat",125,"",0,"",0
"galen",125,"",0,"",0
"mine",125,"",0,"",0
"neither",125,"",0,"",0
"passions",125,"",0,"",0
"sleep",124,"",0,"",0
"greek",123,"greek",77,"greeks",46
"hell",123,"",0,"",0
"bodie",122,"bodie",1,"bodies",121
"lives",122,"",0,"",0
"call",121,"",0,"",0
"idle",121,"",0,"",0
"opinion",121,"",0,"",0
"die",120,"",0,"",0
"found",120,"",0,"",0
"money",120,"money",118,"moneys",2
"brought",119,"",0,"",0
"nihil",119,"",0,"",0
"observes",119,"",0,"",0
"tell",119,"",0,"",0
"creature",118,"creature",37,"creatures",81
"light",118,"",0,"",0
"mother",118,"mother",111,"mothers",7
"ne",118,"",0,"",0
"ready",117,"",0,"",0
"thyself",117,"",0,"",0
"d",116,"",0,"",0
"merry",116,"",0,"",0
"alexander",115,"alexander",114,"alexanders",1
"believe",115,"",0,"",0
"church",115,"",0,"",0
"diet",115,"",0,"",0
"leave",115,"leave",83,"leaves",32
"rome",115,"",0,"",0
"side",115,"",0,"",0
"cares",114,"",0,"",0
"gives",114,"",0,"",0
"mihi",114,"",0,"",0
"none",114,"",0,"",0
"case",113,"",0,"",0
"esse",113,"",0,"",0
"father",113,"",0,"",0
"sense",113,"",0,"",0
"under",113,"",0,"",0
"dry",112,"",0,"",0
"miseries",112,"",0,"",0
"mistress",112,"",0,"",0
"plutarch",112,"",0,"",0
"poet",112,"",0,"",0
"few",111,"",0,"",0
"given",111,"",0,"",0
"honour",111,"",0,"",0
"omnes",111,"",0,"",0
"symbol",111,"",0,"",0
"thus",111,"",0,"",0
"beasts",110,"",0,"",0
"left",110,"",0,"",0
"liver",110,"liver",104,"livers",6
"religion",110,"",0,"",0
"daughter",109,"daughter",86,"daughters",23
"judgment",109,"judgment",95,"judgments",14
"least",109,"",0,"",0
"lover",109,"lover",32,"lovers",77
"proceed",109,"",0,"",0
"te",109,"",0,"",0
"able",108,"",0,"",0
"hoc",108,"",0,"",0
"vain",108,"",0,"",0
"work",108,"",0,"",0
"tully",107,"",0,"",0
"even",106,"",0,"",0
"strange",106,"",0,"",0
"counsel",105,"",0,"",0
"friend",105,"",0,"",0
"happy",105,"",0,"",0
"marry",105,"",0,"",0
"needs",105,"",0,"",0
"ourselves",105,"",0,"",0
"emperor",104,"emperor",80,"emperors",24
"face",104,"",0,"",0
"objects",104,"",0,"",0
"pro",104,"",0,"",0
"avoid",103,"",0,"",0
"care",103,"",0,"",0
"haec",103,"",0,"",0
"off",103,"",0,"",0
"seek",103,"",0,"",0
"countries",102,"",0,"",0
"town",102,"town",50,"towns",52
"worse",102,"",0,"",0
